AuthorID,Name,GenderID,Female,Male,CountryOfOriginID,CountryOfResidence,DateOfDeath,DateOfBirth,Race,PenName
0,David Wojnarowicz,Male,0,1,USA,USA,7/22/92,9/14/54,White,NA
1,Will Eisner,Male,0,1,USA,USA,1/3/05,3/6/17,White,NA
3,Alan Moore,Male,0,1,UK,UK,NA,11/18/53,White,NA
4,Jim Henson,Male,0,1,USA,USA,5/16/90,9/24/36,White,NA
5,Jerry Juhl,Male,0,1,USA,USA,9/26/05,7/27/38,White,NA
6,Alex Ross,Male,0,1,USA,USA,NA,1/22/70,White,NA
7,Jim Krueger,Male,0,1,USA,USA,NA,NA,White,NA
8,Brian Michael Bendis,Male,0,1,USA,USA,NA,8/18/67,White,NA
10,Gene Luen Yang,Male,0,1,USA,USA,NA,8/9/73,Asian,NA
11,Harvey Pekar,Male,0,1,USA,USA,7/12/10,10/8/39,White,NA
12,Alissa Torres,Female,1,0,NA,USA,NA,NA,Unknown,NA
13,David Mazzucchelli,Male,0,1,USA,USA,NA,9/21/60,Unknown,NA
14,Mike Mignola,Male,0,1,USA,USA,NA,9/16/60,White,NA
21,Jeph Loeb,Male,0,1,USA,USA,NA,1/29/58,White,NA
22,Frank Miller,Male,0,1,USA,USA,NA,1/27/57,White,NA
23,Evan Dorkin,Male,0,1,USA,USA,NA,4/20/65,White,NA
24,Stephen L. Stern,Male,0,1,USA,USA,NA,NA,White,NA
25,Adrian Tomine,Male,0,1,USA,USA,NA,5/13/74,Asian,NA
26,Dave Gibbons,Male,0,1,UK,UK,NA,4/14/49,White,NA
30,Alison Bechdel,Female,1,0,USA,USA,NA,9/10/60,White,NA
31,Apostolos Doxiadis,Male,0,1,Australia,Greece,NA,6/6/53,White,NA
32,Christos Papadimitriou,Male,0,1,Greece,USA,NA,8/16/49,White,NA
33,Art Spiegelman,Male,0,1,Sweden,USA,NA,2/15/48,White,NA
34,Ben Katchor,Male,0,1,USA,USA,NA,1/1/51,White,NA
35,Bill Willingham,Male,0,1,USA,USA,NA,1/1/56,White,NA
36,Brandon Graham,Male,0,1,USA,USA,NA,1/1/76,White,NA
37,Brian Fies,Male,0,1,NA,,NA,NA,Unknown,NA
38,Bryan Talbot,Male,0,1,UK,UK,NA,2/24/52,White,NA
39,Carla Speed McNeill,Female,1,0,USA,USA,NA,NA,White,NA
40,Charles Burns,Male,0,1,USA,USA,NA,9/27/55,White,NA
41,Chester Brown,Male,0,1,Canada,Canada,NA,5/16/60,White,NA
42,Chris Ware,Male,0,1,USA,USA,NA,12/28/67,White,NA
43,Craig Thompson,Male,0,1,USA,USA,NA,9/21/75,White,NA
44,Cullen Bunn,Male,0,1,USA,USA,NA,1/1/71,White,NA
45,Daniel Clowes,Male,0,1,USA,USA,NA,4/14/61,White,NA
46,Darwyn Cooke,Male,0,1,Canada,Canada,NA,1/1/62,White,NA
47,Dave McKean,Male,0,1,UK,UK,NA,12/29/63,White,NA
48,Dave Stevens,Male,0,1,USA,USA,3/11/08,7/29/55,White,NA
50,Derek Kirk Kim,Male,0,1,South Korea,USA,NA,1/1/74,Asian,NA
52,Dwayne McDuffle,Male,0,1,NA,USA,2/21/11,2/20/62,African American,NA
53,Dylan Horrocks,Male,0,1,New Zealand,New Zealand,NA,1/1/66,White,NA
55,Edie Fake,Male,0,1,USA,USA,NA,1/1/80,White,NA
56,Ellen Forney,Female,1,0,USA,USA,NA,3/8/68,White,NA
61,G. Willow Wilson,Female,1,0,USA,USA,NA,8/31/82,White,NA
63,Gabriel Ba,Male,0,1,Brazil,Brazil,NA,6/5/76,Hispanic Origin,NA
64,Garth Ennis,Male,0,1,UK,UK,NA,1/16/70,White,NA
67,George R. R. Martin,Male,0,1,USA,USA,NA,9/20/48,White,NA
68,Ben Avery,Male,0,1,USA,USA,NA,NA,White,NA
69,Gilbert Hernandez,Male,0,1,USA,USA,NA,2/1/57,Other Race,NA
71,Joyce Brabner,Female,1,0,USA,USA,NA,3/1/52,White,NA
