"BookID","FormatID","Edition","Book Name","Genre","Genre Group","More than One Edition (1=Y)","Author1ID","Author2ID","Author 1 - First Name","Author 1 - Last Name","Author 1 - Gender (1=M)","Author 1 - Country of Origin","Author 1 - Ethnicity","Author 1 - DOB","Author 1 - Age","Author 2 - First Name","Author 2 - Last Name","Author 2 - Gender (1=M)","Any Female Authors (0 = Y)","Author 2 - Country of Origin","Author 2 - Ethnicity","Author 2 - DOB","Author 2 - Age","LanguageID","Mentions","Pages","PlaceOfPublicationID","PublisherID","SIze","Date","Width","Depth","Height","Unit"
0,"SC",NA,"7 Miles A Second","Memoir","Graphic Memoir",1,0,"N/A","David","Wojnarowicz",1,"USA","White","1954-09-14",41,NA,NA,NA,1,NA,NA,NA,NA,"English",1,64,"Seattle, USA","Fantagraphics","6.6 x 0.1 x 10.2 inches","1996-05-01",6.6,0.1,10.2,"inches"
1,"SC","Reprint Edition","A Contract With God","Fiction","Graphic Novel",0,1,"N/A","Will","Eisner",1,"USA","White","1917-03-06",89,NA,NA,NA,1,NA,NA,NA,NA,"English",4,208,"New York, USA","W. W. Norton and Company","7.1 x 0.6 x 9.9 inches","2006-12-17",7.1,0.6,9.9,"inches"
3,"HC",NA,"A Small Killing","Literary Fiction","Graphic Novel",1,3,"N/A","Alan","Moore",1,"UK","White","1953-11-18",49,NA,NA,NA,1,NA,NA,NA,NA,"English",1,104,"Rantoul, USA","Avatar Press","8.8 x 0.5 x 11.2 inches","2003-08-18",8.8,0.5,11.2,"inches"
4,"SC",NA,"Tale of Sand","Literary Fiction","Graphic Novel",0,4,"5","Jim","Henson",1,"USA","White","1936-09-24",76,"Jerry","Juhl",1,1,"USA","White","1938-07-27",74,"English",1,120,"Los Angeles, USA","Archaia","8.2 x 11 inches","2012-12-11",8.2,0.8,11,"inches"
5,"HC","Slp edition","Absolute Justice","Superhero","Graphic Novel",0,6,"7","Alex","Ross",1,"USA","White","1970-01-22",39,"Jim","Krueger",1,1,"USA","White","0",NA,"English",1,496,"New York, USA","DC Comics","8.6 x 1.6 x 12.8 inches","2009-11-17",8.6,1.6,12.8,"inches"
6,"HC","First Edition","Age of Ultron","Superhero","Graphic Novel",1,8,"N/A","Brian Michael","Bendis",1,"USA","White","1967-08-18",46,NA,NA,NA,1,NA,NA,NA,NA,"English",1,504,"New York, USA","Marvel","19.7 x 2.5 x 28.6 cm","2013-09-17",7.8,1,11.2,"inches"
8,"SC","Reprint Edition","American Born Chinese","Literary Fiction","Graphic Novel",1,10,"N/A","Gene Luen","Yang",1,"USA","Asian","1973-08-09",33,NA,NA,NA,1,NA,NA,NA,NA,"English",2,233,"New York, USA","First Second","5.5 x 0.5 x 8.2 inches","2006-12-23",5.5,0.5,8.2,"inches"
9,"SC","1st edition","American Splendor","Memoir","Graphic Memoir",0,11,"N/A","Harvey","Pekar",1,"USA","White","1939-10-08",63,NA,NA,NA,1,NA,NA,NA,NA,"English",0,320,"New York, USA","Ballantine Books","8.3 x 0.8 x 10.9 inches","2003-07-29",8.3,0.8,10.9,"inches"
10,"HC","Gph edition","American Widow","Memoir","Graphic Memoir",0,12,"N/A","Alissa","Torres",0,"Unknown","Unknown","0",NA,NA,NA,NA,0,NA,NA,NA,NA,"English",0,209,"New York, USA","Villard","7.3 x 0.8 x 9.6 inches","2008-09-09",7.3,0.8,9.6,"inches"
11,"HC","First Edition","Asterios Polyp","Literary Fiction","Graphic Novel",0,13,"N/A","David","Mazzucchelli",1,"USA","Unknown","1960-09-21",48,NA,NA,NA,1,NA,NA,NA,NA,"English",0,344,"New York City","Pantheon","8 x 1.2 x 10.5 inches","2009-07-07",8,1.2,10.5,"inches"
15,"SC","New edition","Batman: Dark Victory","Superhero","Graphic Novel",0,21,"N/A","Jeph","Loeb",1,"USA","White","1958-01-29",56,NA,NA,NA,1,NA,NA,NA,NA,"English",1,400,"New York, USA","DC Comics","6.6 x 0.5 x 10.2 inches","2014-02-18",6.6,0.5,10.2,"inches"
16,"SC",NA,"Batman: The Dark Knight Returns","Superhero","Graphic Novel",0,22,"N/A","Frank","Miller",1,"USA","White","1957-01-27",45,NA,NA,NA,1,NA,NA,NA,NA,"English",4,224,"New York, USA","DC Comics","6.6 x 0.4 x 10.2 inches","2002-12-01",6.6,0.4,10.2,"inches"
18,"SC",NA,"Batman: The Long Halloween","Superhero","Graphic Novel",0,21,"N/A","Jeph","Loeb",1,"USA","White","1958-01-29",53,NA,NA,NA,1,NA,NA,NA,NA,"English",2,384,"New York, USA","DC Comics","6.6 x 0.6 x 10.2 inches","2011-10-11",6.6,0.6,10.2,"inches"
19,"HC","1st edition","Batman: Year One","Superhero","Graphic Novel",1,22,"N/A","Frank","Miller",1,"USA","White","1957-01-27",30,NA,NA,NA,1,NA,NA,NA,NA,"English",1,96,"New York, USA","DC Comics","10.3 x 6.9 x 0.7 inches","1988-01-01",6.9,0.7,10.3,"inches"
20,"HC","1St Edition edition","Beasts of Burden: Animal Rites","Adventure","Graphic Novel",0,23,"184","Evan","Dorkin",1,"USA","White","1965-04-20",45,"Jill","Thompson",0,0,"USA","White","1966-11-20",43,"English",1,168,"Milwaukee, USA","Dark Horse","8 x 0.8 x 11.3 inches","2010-07-06",8,0.8,11.3,"inches"
21,"SC","1st Printing edition","Beowulf","Fantasy","Graphic Fantasy",0,24,"N/A","Stephen L.","Stern",1,"USA","White","0",NA,NA,NA,NA,1,NA,NA,NA,NA,"English",1,66,"Stevenage, UK","Markosia Enterprises Ltd","6.7 x 0.2 x 9.6 inches","2007-10-01",6.7,0.2,9.6,"inches"
22,"SC","1st edition","Berlin, Vol. 2: City of Smoke","Historical Non-Fiction","Non-Fiction",0,73,"N/A","Jason","Lutes",1,"USA","White","1967-12-07",40,NA,NA,NA,1,NA,NA,NA,NA,"English",1,210,"Montreal, Canada","Drawn and Quarterly","7.5 x 0.7 x 10 inches","2008-09-16",7.5,0.7,10,"inches"
