AuthorID,Name,GenderID,CountryOfOriginID,CountryOfResidence,DateOfDeath,DateOfBirth,Race,PenName
0,David Wojnarowicz,Male,USA,USA,7/22/92,9/14/54,White,NA
1,Will Eisner,Male,USA,USA,1/3/05,3/6/17,White,NA
3,Alan Moore,Male,UK,UK,NA,11/18/53,White,NA
4,Jim Henson,Male,USA,USA,5/16/90,9/24/36,White,NA
5,Jerry Juhl,Male,USA,USA,9/26/05,7/27/38,White,NA
6,Alex Ross,Male,USA,USA,NA,1/22/70,White,NA
7,Jim Krueger,Male,USA,USA,NA,NA,White,NA
8,Brian Michael Bendis,Male,USA,USA,NA,8/18/67,White,NA
10,Gene Luen Yang,Male,USA,USA,NA,8/9/73,Asian,NA
11,Harvey Pekar,Male,USA,USA,7/12/10,10/8/39,White,NA
12,Alissa Torres,Female,NA,USA,NA,NA,Unknown,NA
13,David Mazzucchelli,Male,USA,USA,NA,9/21/60,Unknown,NA
14,Mike Mignola,Male,USA,USA,NA,9/16/60,White,NA
21,Jeph Loeb,Male,USA,USA,NA,1/29/58,White,NA
22,Frank Miller,Male,USA,USA,NA,1/27/57,White,NA
23,Evan Dorkin,Male,USA,USA,NA,4/20/65,White,NA
24,Stephen L. Stern,Male,USA,USA,NA,NA,White,NA
25,Adrian Tomine,Male,USA,USA,NA,5/13/74,Asian,NA
26,Dave Gibbons,Male,UK,UK,NA,4/14/49,White,NA
30,Alison Bechdel,Female,USA,USA,NA,9/10/60,White,NA
31,Apostolos Doxiadis,Male,Australia,Greece,NA,6/6/53,White,NA
32,Christos Papadimitriou,Male,Greece,USA,NA,8/16/49,White,NA
33,Art Spiegelman,Male,Sweden,USA,NA,2/15/48,White,NA
34,Ben Katchor,Male,USA,USA,NA,1/1/51,White,NA
35,Bill Willingham,Male,USA,USA,NA,1/1/56,White,NA
36,Brandon Graham,Male,USA,USA,NA,1/1/76,White,NA
37,Brian Fies,Male,NA,NA,NA,NA,Unknown,NA
38,Bryan Talbot,Male,UK,UK,NA,2/24/52,White,NA
39,Carla Speed McNeill,Female,USA,USA,NA,NA,White,NA
40,Charles Burns,Male,USA,USA,NA,9/27/55,White,NA
41,Chester Brown,Male,Canada,Canada,NA,5/16/60,White,NA
42,Chris Ware,Male,USA,USA,NA,12/28/67,White,NA
43,Craig Thompson,Male,USA,USA,NA,9/21/75,White,NA
44,Cullen Bunn,Male,USA,USA,NA,1/1/71,White,NA
45,Daniel Clowes,Male,USA,USA,NA,4/14/61,White,NA
46,Darwyn Cooke,Male,Canada,Canada,NA,1/1/62,White,NA
47,Dave McKean,Male,UK,UK,NA,12/29/63,White,NA
48,Dave Stevens,Male,USA,USA,3/11/08,7/29/55,White,NA
50,Derek Kirk Kim,Male,South Korea,USA,NA,1/1/74,Asian,NA
52,Dwayne McDuffle,Male,NA,USA,2/21/11,2/20/62,African American,NA
53,Dylan Horrocks,Male,New Zealand,New Zealand,NA,1/1/66,White,NA
55,Edie Fake,Male,USA,USA,NA,1/1/80,White,NA
