AuthorID,BookID,RelAuthorID,Title,Mentions,PrimPub,Image,OriginalLanguage,color_type,LimitedSeries,BookSeries,UnlimitedSeries,ISBN,Directory,AvgRating,NoRatings,OriginalTitle,Name,FirstName,LastName,GenderID,CountryOfOriginID,CountryOfResidence,DateOfDeath,DateOfBirth,Race,PenName
0,0,20,7 Miles A Second,1,5/1/96,7 Miles A Second.jpg,English,colour,0,0,0,978-1-60699-614-0,7_Miles_A_Second,4.01,382,NA,David Wojnarowicz,David,Wojnarowicz,Male,USA,USA,7/22/92,9/14/54,White,
0,28,56,Cairo,6,11/1/07,Cairo.jpg,English,monochrome,0,0,0,978-1-4012-1734-1,Cairo,3.78,1951,NA,David Wojnarowicz,David,Wojnarowicz,Male,USA,USA,7/22/92,9/14/54,White,
0,174,226,Harvey Pekar's Cleveland,8,2/1/12,Harvey Pekar's Cleveland.jpg,English,monochrome,0,0,0,978-1-60309-091-9,Harvey_Pekars_Cleveland,3.99,975,NA,David Wojnarowicz,David,Wojnarowicz,Male,USA,USA,7/22/92,9/14/54,White,
0,152,189,Troubled Souls,0,2/1/90,Troubled Souls.jpg,English,colour,0,0,0,0-85386-174-x,Troubled_Souls,3.42,62,NA,David Wojnarowicz,David,Wojnarowicz,Male,USA,USA,7/22/92,9/14/54,White,
0,52,85,Exit Wounds,5,5/1/07,Exit Wounds.jpg,English,colour,0,0,0,978-1-897299-8,Exit_Wounds,3.57,4,NA,David Wojnarowicz,David,Wojnarowicz,Male,USA,USA,7/22/92,9/14/54,White,
0,5,196,Absolute Justice,0,1/1/08,Absolute Justice.jpg,English,colour,1,0,0,978-1-4012-3526-0,Absolute_Justice,4.17,1228,NA,David Wojnarowicz,David,Wojnarowicz,Male,USA,USA,7/22/92,9/14/54,White,
1,1,22,A Contract With God,31,1/1/78,A Contract with God.png,English,--> black&white,0,0,0,978-0-393-32804-2,A_Contract_With_God,4.07,9146,NA,Will Eisner,Will,Eisner,Male,USA,USA,1/3/05,3/6/17,White,
1,164,200,A Life Force,2,5/1/88,A Life Force.jpg,English,monochrome,0,0,0,978-0-393-32803-5,A_Life_Force,4.12,745,NA,Will Eisner,Will,Eisner,Male,USA,USA,1/3/05,3/6/17,White,
1,180,232,Last Day in Vietnam,1,1/1/00,Last Day in Vietnam.jpg,English,monochrome,0,0,0,978-1-61655-120-9,Last_Day_in_Vietnam,3.7,578,NA,Will Eisner,Will,Eisner,Male,USA,USA,1/3/05,3/6/17,White,
1,150,187,To the Heart of the Storm,1,5/1/91,To the Heart of the Storm.jpg,English,--> black&white,0,0,0,978-0-393-32810-3,To_the_Heart_of_the_Storm,4.09,822,NA,Will Eisner,Will,Eisner,Male,USA,USA,1/3/05,3/6/17,White,
1,136,171,The Name of the Game,0,1/1/01,The Name of the Game.jpg,English,monochrome,0,0,0,978-0-393-328158,The_Name_of_the_Game,3.78,293,NA,Will Eisner,Will,Eisner,Male,USA,USA,1/3/05,3/6/17,White,
3,57,90,From Hell,85,1/1/99,From Hell.jpg,English,monochrome,1,0,0,978-0-9585783-4-9,From_Hell,4.16,28044,NA,Alan Moore,Alan,Moore,Male,UK,UK,,11/18/53,White,
3,107,142,"Saga of the Swamp Thing, Book 1",4,1/1/83,"Saga of the Swamp Thing, Book 1.jpg",English,colour,0,0,1,978-1-4012-2083-9,Saga_of_the_Swamp_Thing_Book_1,4.21,19484,NA,Alan Moore,Alan,Moore,Male,UK,UK,,11/18/53,White,
3,156,193,Watchmen,204,1/1/87,Watchmen.jpg,English,colour,1,0,0,978-3-86607-607-5,Watchmen,4.35,432336,NA,Alan Moore,Alan,Moore,Male,UK,UK,,11/18/53,White,
3,79,113,Lost Girls,32,8/26/06,Lost Girls.jpg,English,colour,1,0,0,978-1-60309-044-5,Lost_Girls,3.59,4982,NA,Alan Moore,Alan,Moore,Male,UK,UK,,11/18/53,White,
3,155,192,V for Vendetta,60,1/1/90,V for Vendetta.jpg,English,colour,1,0,0,978-1-4012-0841-7,V_for_Vendetta,4.25,226860,NA,Alan Moore,Alan,Moore,Male,UK,UK,,11/18/53,White,
3,151,186,Top 10: The Forty-Niners,5,1/1/05,Top 10. The Forty-Niners.jpg,English,colour,0,1,0,1-4012-0573-9,Top_10_The_Forty-Niners,3.92,2183,NA,Alan Moore,Alan,Moore,Male,UK,UK,,11/18/53,White,
3,3,24,A Small Killing,5,10/3/91,A Small Killing.JPG,English,colour,0,0,0,1-59291-009-0,A_Small_Killing,3.4,731,NA,Alan Moore,Alan,Moore,Male,UK,UK,,11/18/53,White,
4,4,25,Tale of Sand,0,12/14/11,Tale of Sand.jpg,English,colour,0,0,0,978-1-936393-09-1,Tale_of_Sand,3.78,2386,NA,Jim Henson,Jim,Henson,Male,USA,USA,5/16/90,9/24/36,White,
5,4,26,Tale of Sand,0,12/14/11,Tale of Sand.jpg,English,colour,0,0,0,978-1-936393-09-1,Tale_of_Sand,3.78,2386,NA,Jerry Juhl,Jerry,Juhl,Male,USA,USA,9/26/05,7/27/38,White,
6,5,27,Absolute Justice,0,1/1/08,Absolute Justice.jpg,English,colour,1,0,0,978-1-4012-3526-0,Absolute_Justice,4.17,1228,NA,Alex Ross,Alex,Ross,Male,USA,USA,,1/22/70,White,
