AuthorID,Name,GenderID,Female,Male,CountryOfOriginID,CountryOfResidence,DateOfDeath,DateOfBirth,Race,PenName
0,David Wojnarowicz,Male,0,1,USA,USA,7/22/92,9/14/54,White,NA
1,Will Eisner,Male,0,1,USA,USA,1/3/05,3/6/17,White,NA
6,Alex Ross,Male,0,1,USA,USA,NA,1/22/70,White,NA
10,Gene Luen Yang,Male,0,1,USA,USA,NA,8/9/73,Asian,NA
13,David Mazzucchelli,Male,0,1,USA,USA,NA,9/21/60,Unknown,NA
14,Mike Mignola,Male,0,1,USA,USA,NA,9/16/60,White,NA
22,Frank Miller,Male,0,1,USA,USA,NA,1/27/57,White,NA
25,Adrian Tomine,Male,0,1,USA,USA,NA,5/13/74,Asian,NA
26,Dave Gibbons,Male,0,1,UK,UK,NA,4/14/49,White,NA
30,Alison Bechdel,Female,1,0,USA,USA,NA,9/10/60,White,NA
33,Art Spiegelman,Male,0,1,Sweden,USA,NA,2/15/48,White,NA
34,Ben Katchor,Male,0,1,USA,USA,NA,1/1/51,White,NA
36,Brandon Graham,Male,0,1,USA,USA,NA,1/1/76,White,NA
37,Brian Fies,Male,0,1,NA,,NA,NA,Unknown,NA
39,Carla Speed McNeill,Female,1,0,USA,USA,NA,NA,White,NA
40,Charles Burns,Male,0,1,USA,USA,NA,9/27/55,White,NA
41,Chester Brown,Male,0,1,Canada,Canada,NA,5/16/60,White,NA
42,Chris Ware,Male,0,1,USA,USA,NA,12/28/67,White,NA
43,Craig Thompson,Male,0,1,USA,USA,NA,9/21/75,White,NA
45,Daniel Clowes,Male,0,1,USA,USA,NA,4/14/61,White,NA
46,Darwyn Cooke,Male,0,1,Canada,Canada,NA,1/1/62,White,NA
47,Dave McKean,Male,0,1,UK,UK,NA,12/29/63,White,NA
48,Dave Stevens,Male,0,1,USA,USA,3/11/08,7/29/55,White,NA
50,Derek Kirk Kim,Male,0,1,South Korea,USA,NA,1/1/74,Asian,NA
53,Dylan Horrocks,Male,0,1,New Zealand,New Zealand,NA,1/1/66,White,NA
55,Edie Fake,Male,0,1,USA,USA,NA,1/1/80,White,NA
56,Ellen Forney,Female,1,0,USA,USA,NA,3/8/68,White,NA
62,M. K. Perker,Male,0,1,Turkey,USA,NA,11/2/72,White,NA
63,Gabriel Ba,Male,0,1,Brazil,Brazil,NA,6/5/76,Hispanic Origin,NA
65,John McCrea,Male,0,1,UK,UK,NA,1/1/66,White,NA
69,Gilbert Hernandez,Male,0,1,USA,USA,NA,2/1/57,Other Race,NA
72,Howard Cruse,Male,0,1,USA,USA,NA,5/2/44,White,NA
73,Jason Lutes,Male,0,1,USA,USA,NA,12/7/67,White,NA
75,Jeff Lemire,Male,0,1,Canada,Canada,NA,3/21/76,White,NA
76,Jeff Smith,Male,0,1,USA,USA,NA,2/27/60,White,NA
79,Joe Kubert,Male,0,1,Poland,USA,8/12/12,9/18/26,White,NA
80,Joe Sacco,Male,0,1,Malta,USA,NA,10/2/60,White,NA
82,Judd Winick,Male,0,1,USA,USA,NA,2/12/70,White,NA
85,Kim Deitch,Male,0,1,USA,,NA,1/1/44,White,NA
86,Kyle Baker,Male,0,1,USA,USA,NA,1/1/65,African American,NA
87,Lance Tooks,Male,0,1,USA,USA,NA,NA,African American,NA
88,Leela Corman,Female,1,0,NA,USA,NA,NA,Unknown,NA
89,Lila Quintero Weaver,Female,1,0,Argentina,USA,NA,1/1/55,Hispanic Origin,NA
90,Linda Medley,Female,1,0,USA,USA,NA,5/17/64,White,NA
95,Lynda Barry,Female,1,0,USA,USA,NA,1/2/56,Other Race,NA
96,Mariko Tamaki,Female,1,0,Canada,Canada,NA,NA,Other Race,NA
97,Marisa Acocella Marchetto,Female,1,0,USA,USA,NA,1/1/62,White,NA
99,Mark Kalesniko,Male,0,1,Canada,USA,NA,NA,White,NA
103,Michael Nicoll Yahgulanaas,Male,0,1,Canada,Canada,NA,1/1/54,Native American,NA
104,Michel Rabagliati,Male,0,1,Canada,Canada,NA,1/1/61,White,NA
