"AuthorID","BookID","RelIllustratorID","Title","Genre","Genre Group","Mentions","PrimPub","OriginalLanguage","Name","FirstName","LastName","GenderID","CountryOfOriginID","CountryOfResidence","DateOfDeath","DateOfBirth","Ethnicity","PenName"
0,0,153,"7 Miles A Second","Memoir","Graphic Memoir",1,1996-05-01,"English","David Wojnarowicz","David","Wojnarowicz",1,"USA","USA",1992-07-22,1954-09-14,"White",NA
1,1,152,"A Contract With God","Fiction","Graphic Novel",31,1978-01-01,"English","Will Eisner","Will","Eisner",1,"USA","USA",2005-01-03,2017-03-06,"White",NA
1,164,148,"A Life Force","Historical Fiction","Graphic Novel",2,1988-05-01,"English","Will Eisner","Will","Eisner",1,"USA","USA",2005-01-03,2017-03-06,"White",NA
1,180,212,"Last Day in Vietnam","Memoir","Graphic Memoir",1,2000-01-01,"English","Will Eisner","Will","Eisner",1,"USA","USA",2005-01-03,2017-03-06,"White",NA
1,136,159,"The Name of the Game","Memoir","Graphic Memoir",0,2001-01-01,"English","Will Eisner","Will","Eisner",1,"USA","USA",2005-01-03,2017-03-06,"White",NA
1,150,157,"To the Heart of the Storm","Historical Fiction","Graphic Novel",1,1991-05-01,"English","Will Eisner","Will","Eisner",1,"USA","USA",2005-01-03,2017-03-06,"White",NA
6,263,303,"Marvels","Superhero","Graphic Novel",32,1995-01-01,"English","Alex Ross","Alex","Ross",1,"USA","USA",NA,1970-01-22,"White",NA
10,8,147,"American Born Chinese","Literary Fiction","Graphic Novel",23,2006-09-01,"English","Gene Luen Yang","Gene Luen","Yang",1,"USA","USA",NA,1973-08-09,"Asian",NA
13,19,136,"Batman: Year One","Superhero","Graphic Novel",8,1987-02-01,"English","David Mazzucchelli","David","Mazzucchelli",1,"USA","USA",NA,1960-09-21,"Unknown",NA
13,11,144,"Asterios Polyp","Literary Fiction","Graphic Novel",8,2009-07-07,"English","David Mazzucchelli","David","Mazzucchelli",1,"USA","USA",NA,1960-09-21,"Unknown",NA
13,40,113,"Daredevil: Born Again","Superhero","Graphic Novel",1,1986-02-01,"English","David Mazzucchelli","David","Mazzucchelli",1,"USA","USA",NA,1960-09-21,"Unknown",NA
13,34,120,"City of Glass: The Graphic Novel","Mystery","Graphic Fantasy",7,1994-01-01,"English","David Mazzucchelli","David","Mazzucchelli",1,"USA","USA",NA,1960-09-21,"Unknown",NA
14,64,91,"Hellboy Library Edition, Volume 2: The Chained Coffin, The Right Hand of Doom, and Others","Superhero","Graphic Novel",25,2008-10-15,"English","Mike Mignola","Mike","Mignola",1,"USA","USA",NA,1960-09-16,"White",NA
14,63,92,"Hellboy Library Edition, Volume 1: Seed of Destruction and Wake the Devil","Horror","Graphic Fantasy",25,2008-01-01,"English","Mike Mignola","Mike","Mignola",1,"USA","USA",NA,1960-09-16,"White",NA
22,50,105,"Elektra Lives Again","Action/Adventure","Graphic Novel",1,1990-03-01,"English","Frank Miller","Frank","Miller",1,"USA","USA",NA,1957-01-27,"White",NA
22,113,174,"Sin City. The Hard Goodbye","Crime","Graphic Novel",54,1992-01-01,"English","Frank Miller","Frank","Miller",1,"USA","USA",NA,1957-01-27,"White",NA
22,283,314,"Sin City. Family Values","Crime","Graphic Novel",54,1997-10-01,"English","Frank Miller","Frank","Miller",1,"USA","USA",NA,1957-01-27,"White",NA
22,16,139,"Batman: The Dark Knight Returns","Superhero","Graphic Novel",3,1986-02-01,"English","Frank Miller","Frank","Miller",1,"USA","USA",NA,1957-01-27,"White",NA
25,111,49,"Shortcomings","Literary Fiction","Graphic Novel",13,2007-09-20,"English","Adrian Tomine","Adrian","Tomine",1,"USA","USA",NA,1974-05-13,"Asian",NA
25,195,228,"Killing and Dying","Literary Fiction","Graphic Novel",0,2015-10-01,"English","Adrian Tomine","Adrian","Tomine",1,"USA","USA",NA,1974-05-13,"Asian",NA
26,137,23,"The Originals","Science Fiction","Graphic Fantasy",14,2004-11-03,"English","Dave Gibbons","Dave","Gibbons",1,"UK","UK",NA,1949-04-14,"White",NA
