AuthorID,BookID,RelIllustratorID,Title,Mentions,PrimPub,OriginalLanguage,Name,FirstName,LastName,GenderID,CountryOfOriginID,CountryOfResidence,DateOfDeath,DateOfBirth,Race,PenName,Year,Decade,Gender,Genre,Genre.Group,Any Female Illustrators (0 = Y),Any Female Illustrators?
0,0,153,7 Miles A Second,1,5/1/1996,English,David Wojnarowicz,David,Wojnarowicz,1,USA,USA,7/22/1992,9/14/1954,White,NA,1996,1990-1999,Male,Memoir,Graphic Memoir,0,At Least 1 Female Illustrator
1,1,152,A Contract With God,31,1/1/1978,English,Will Eisner,Will,Eisner,1,USA,USA,1/3/2005,3/6/2017,White,NA,1978,1970-1979,Male,Fiction,Graphic Novel,1,Only Male Illustrator(s)
187,3,145,A Small Killing,5,10/3/1991,English,Oscar Zarate,Oscar,Zarate,1,Argentina,Argentina,NA,6/9/1942,Hispanic Origin,NA,1991,1990-1999,Male,Literary Fiction,Graphic Novel,1,Only Male Illustrator(s)
156,4,41,Tale of Sand,0,12/14/2011,English,Ramon K. Perez,Ramon K.,Perez,1,Canada,Canada,NA,6/4/1973,White,NA,2011,2010-2017,Male,Literary Fiction,Graphic Novel,1,Only Male Illustrator(s)
192,5,2,Absolute Justice,0,1/1/2008,English,Doug Braithwaite,Doug,Braithwaite,1,UK,UK,NA,NA,Black,NA,2008,2000-2009,Male,Superhero,Graphic Novel,1,Only Male Illustrator(s)
189,6,149,Age of Ultron,0,1/1/2013,English,Bryan Hitch,Bryan,Hitch,1,UK,UK,NA,3/22/1970,White,NA,2013,2010-2017,Male,Superhero,Graphic Novel,1,Only Male Illustrator(s)
10,8,147,American Born Chinese,23,9/1/2006,English,Gene Luen Yang,Gene Luen,Yang,1,USA,USA,NA,8/9/1973,Asian,NA,2006,2000-2009,Male,Literary Fiction,Graphic Novel,1,Only Male Illustrator(s)
120,9,198,American Splendor,27,1/1/1986,English,Robert Crumb,Robert,Crumb,1,USA,USA,NA,8/30/1943,White,NA,1986,1980-1989,Male,Memoir,Graphic Memoir,1,Only Male Illustrator(s)
188,10,146,American Widow,8,9/1/2008,English,Sungyoon Choi,Sungyoon,Choi,0,NA,USA,NA,NA,Asian,NA,2008,2000-2009,Female,Memoir,Graphic Memoir,0,At Least 1 Female Illustrator
13,11,144,Asterios Polyp,8,7/7/2009,English,David Mazzucchelli,David,Mazzucchelli,1,USA,USA,NA,9/21/1960,Unknown,NA,2009,2000-2009,Male,Literary Fiction,Graphic Novel,1,Only Male Illustrator(s)
185,15,140,Batman: Dark Victory,1,1/1/1999,English,Tim Sale,Tim,Sale,1,USA,USA,NA,5/1/1956,White,NA,1999,1990-1999,Male,Superhero,Graphic Novel,1,Only Male Illustrator(s)
